"","name","prob.m","prob.w"
"807","Hollis",0.63,0.37
"808","Jean-Marc",0.99,0.01
"809","Joan",0.56,0.44
"810","Karsten",0.99,0.01
"811","Krista",0.02,0.98
"812","Leo",0.95,0.05
"813","Lukas",0.99,0.01
"814","Marvin",0.99,0.01
"815","Masud",0.99,0.01
"816","Mathew",0.99,0.01
"817","Minoru",0.98,0.02
"818","Nils",0.99,0.01
"819","Pankaj",1,0
"820","Rasmus",0.99,0.01
"821","Reinhard",0.99,0.01
"822","Rik",0.98,0.02
"823","Ross",0.91,0.09
"824","Rufin",0.98,0.02
"825","Satoru",0.99,0.01
"826","Shane",0.93,0.07
"827","Sidney",0.84,0.16
"828","Tanja",0.02,0.98
"829","Valeria",0.02,0.98
"830","Vania",0.04,0.96
"831","Xu",0.67,0.33
"832","Alexei",0.98,0.02
"833","Azad",0.96,0.04
"834","Cameron",0.93,0.07
"835","Carole",0.02,0.98
"836","Christof",0.99,0.01
"837","Ege",0.92,0.08
"838","Emiliano",0.99,0.01
"839","Emrah",0.97,0.03
"840","Fabrice",0.98,0.02
"841","Gabor",0.98,0.02
"842","Gonzalo",0.99,0.01
"843","Hanna",0.0600000000000001,0.94
"844","Hubert",0.98,0.02
"845","Ichiro",0.99,0.01
"846","Ingo",0.99,0.01
"847","Jimmy",0.98,0.02
"848","Josep",0.99,0.01
"849","Katharine",0.01,0.99
"850","Klaudiusz",1,0
"851","Maurice",0.97,0.03
"852","Mauro",0.99,0.01
"853","Ramon",0.98,0.02
"854","Risto",0.99,0.01
"855","Ryusuke",0.99,0.01
"856","Takayuki",1,0
"857","Tal",0.69,0.31
"858","Tamara",0.02,0.98
"859","Torsten",0.99,0.01
"860","Wesley",0.99,0.01
"861","Yavin",0.88,0.12
"862","Yoshiaki",0.99,0.01
"863","Yoshio",0.99,0.01
"864","Yuri",0.81,0.19
"865","Zheng",0.76,0.24
"866","Ahmad",0.98,0.02
"867","Anatol",0.97,0.03
"868","Beth",0.01,0.99
"869","Bonnie",0.08,0.92
"870","Brice",0.98,0.02
"871","Carrie",0.02,0.98
"872","Danny",0.94,0.0600000000000001
"873","Dorit",0.04,0.96
"874","Elliot",0.98,0.02
"875","Han",0.72,0.28
"876","Hauke",0.99,0.01
"877","Israel",0.99,0.01
"878","Jesus",0.98,0.02
"879","Katsuhiko",1,0
"880","Kendal",0.67,0.33
"881","Koen",0.99,0.01
"882","Krish",0.95,0.05
"883","Laszlo",0.98,0.02
"884","Ling-Gang",0.35,0.65
